AB	ABBA
AC	Anna-Carin
AD	Art Director
AF	Afro
AG	Artistisk Gymnast
AH	AHA
AI	AI-pojken
AJ	Aj, göra ont
AK	AK47
AL	Al Bundy
AM	Väckarklocka
AN	Anno Greger
AO	Alfa Omega
AP	Apa
AQ	Aqua
AR	Ara
AS	Dött djur
AT	Ung läkare
AU	Guld
AV	AW på taket
BA	Babben
BC	BC på enhjuling
BD	Bidé
BE	Be
BG	Bagge (Anders)
BH	BH
BI	Bi
BJ	Blowjob
BK	Burger King
BL	Blomma
BM	Bom
BN	Hundben
BO	Bord
BP	BP-mack
BQ	BBQ
BR	BR leksaker
BS	Bull shit
BT	Båt
BU	Spöke
BV	Bäver
CA	CA Eriksson
CB	CowBoy
CD	CD
CE	Celsius, termometer
CF	Crossfit
CG	CGI
CH	Choklad
CI	Cicci
CJ	Carl-Johan
CK	Cykel
CL	Clown
CM	Cam
CN	Chuck Norris
CO	Kalle Anka & co
CP	Cp
CQ	Krocket
CR	Cricket
CS	CounterStrike
CT	COT
CU	See you!
CV	Cv
DA	Dator
DB	Dubbdäck
DC	Vita huset
DE	Tyskland (flagga)
DF	Duffel
DG	Deg
DH	Diskhandskar
DI	Dia
DJ	Diskjockey
DK	Duk
DL	Dalai Lama
DM	Damm
DN	Tidning
DO	Doa-kör
DP	Dop
DQ	Daiquiri
DR	Dr Alban
DS	Dass
DT	DT, moped
DU	Duva
DV	Dvd
EB	Ebba
EC	Ecco, sandaler
ED	Ed, handen på bröstet
EF	Efva (Attling)
EG	Ägg
EH	E-handel
EI	Eiffel (tornet)
EJ	Ajabajafinger
EK	Ek
EL	Elektriker
EM	Medalj
EN	En, buske
EO	Ekollon
EP	7 tums
EQ	EQ, mixerbord
ER	Erno Rubik
ES	Espana
ET	ET
EU	Eu-flagga
EV	Eva (Dahlgren)
FA	Falk (Andreas)
FC	Fackla
FD	Födsel
FE	Fe
FG	Fågel
FH	Fågelholk
FI	FI Gudrun
FJ	Fjant
FK	Fika
FL	Föl
FM	Radio
FN	FN, flaggan
FO	Foffo
FP	Foppa
FQ	Fuck
FR	Får
FS	Fis
FT	Fitta
FU	Kung Fu
FV	Flygvapnet
GA	Gandalf
GB	GB-gubbe
GC	Gecko, ödla
GD	Gadd
GE	Ge gåva
GF	Gaffa
GH	Gooh
GI	Giraff
GJ	Tumme upp
GK	Gekås
GL	Glas
GM	Gem
GN	Gen, DNAsträng
GO	Google
GP	GoPro
GQ	Geek
GR	Gran
GS	Gås
GT	Gin & tonic
GU	Gurka
GV	Leif GW
HA	Skratt
HB	Hembränt
HC	HC Andersen
HD	Harley Davidson
HE	Helvetet
HF	High Five
HG	Hög
HI	Hi-hat
HJ	Haj
HK	Hök
HL	Häl
HM	H&M
HN	Höna
HO	Hora
HP	HP-sås
HQ	Högkvarter
HR	Hår
HS	Häst
HT	Höt, som hö
HU	Hus
HV	Håv
IA	Ida (sommarvisa)
IB	Isbjörn
IC	Ica i rutan
ID	ID, körkort
IE	Internet explorer
IF	Idrottsförening
IG	Igelkott
IH	Ivar Hecksher
IJ	IJA
IK	Ikea
IL	Iller
IM	Imma
IN	Internet, modem
IO	Ior
IP	Ip-nummer
IQ	Albert
IR	IR-glasögon
IS	Is-krigare
IT	Italien
IU	I love U
IV	IV-elev
JA	Nicka på huvet
JB	Jim Beam
JC	Jeans
JD	Jade
JE	Jesus
JF	Jaffa
JG	Jägare
JH	Jehova
JI	Jimmie (Åkesson)
JK	Jacka
JL	Jönssonligan
JM	Jam, sylt
JN	Janne (Rosén)
JO	JO Waldner
JP	Japan
JQ	Jacuzzi
JR	Dallas
JS	Jas, Flygplan
JT	Jetmotor
JU	Juver
JV	JW Snabba Cash
KA	Kaka
KB	Kebab
KC	Kentucky Chicken
KD	Alf Svensson
KE	Kent
KF	Kaffe
KG	Kägla
KH	Kamphund
KI	Kiss
KJ	Kjol
KL	Kodlås
KM	Kam
KN	Knä
KO	Ko
KP	Kopp
KQ	Kanonkula
KR	Kör
KS	Kåsa
KT	Kåt
KU	Kung
KV	Kiwi
LA	Los Angeles
LB	Labrador
LC	Lack
LD	Låda, flytt
LE	Leende
LF	Leffe
LG	Lag
LH	Lufthansa, logo
LI	Bruce Lee
LJ	Ljus
LK	Lök
LM	Lim
LN	Ellen
LO	Lodjur
LP	LP-skiva
LQ	Lock
LR	Lår
LS	Lås
LT	Lott, lotto
LU	Lur
LV	Löv
MA	Mamma
MB	Mobb med facklor
MC	Motorcykel
MD	Minidisk
ME	Med på spark
MF	Morfar
MG	Mage
MH	Manhattan, new york
MI	Mina
MJ	Michael Jackson
MK	Macka
ML	Mal
MN	Min
MO	Mord
MP	Musse Pigg
MQ	MQ, affären
MR	Mur
MS	Mas, dalmas
MT	Måttband
MU	Mumin
MV	Målvakt
NA	Nasa, raket
NB	Nubb
NC	Nuclear
ND	Nationaldemokraterna
NE	Nationalencyklopedin
NF	Nappflaska
NG	Nogger
NH	Nils Holgersson
NI	Ninja
NJ	Njet!
NK	Nordiska kompaniet
NL	Nål
NM	Nam-nam
NO	Nej, skaka på huvet
NP	Napp
NQ	New Kids, boy band
NR	Nödraket
NS	Näsa
NT	Nöt
NU	Nu, klocka
NV	Näver, björk
OA	Sång i mic
OB	Tampong
OC	&
OD	Oden
OE	Old English
OF	Röd knapp
OG	Original Gangster
OH	One Handed
OI	Oi! Hey!
OJ	OJ Simpson
OK	OK-tecken
OL	Olle
OM	Om Mokshananda
ON	Grön knapp
OP	Original Poster
OQ	OKQ8
OR	Orm
OS	OS-ringarna
OT	Åtta
OU	Ouzo
OV	Ove, solsidan
PA	PA system
PB	Pub
PC	Dator
PD	P Diddy
PE	Peter Eriksson
PF	Piff/Puff
PG	Peg
PH	Lena ph
PI	Pi, symbolen
PJ	Pyjamas
PK	Pök Ronny&Ragge
PL	Postlåda
PM	Fax papper
PN	Penna
PO	Polkagris
PQ	Puck
PR	Reklam/affish
PS	Pass
PT	Personlig Tränare
PU	Nalle Puh
PV	Påven
QA	Kula
QB	Kub
QC	Kuse
QD	Kudde
QE	Queen, Freddie
QF	Kuf
QG	Kulglass
QH	Kulhål
QI	Qvinna
QJ	Cujo
QK	Kuk
QL	Kul
QM	Cum
QN	Cunnilingus
QO	Korv
QP	QuarterPounder
QR	QR-kod
QS	Quasimodo
QU	Quist
QV	Kuvert
RA	Rabies
RB	Rola bola
RC	Radiostyrd helikopter
RD	Riddare
RE	Ren
RF	Räfflade chips
RG	Rytmiska gymnaster
RH	Rhino, noshörning
RI	Ris
RJ	Röjsåg
RK	Räka
RL	Rödlök
RM	Rom, kaviar
RN	Rån, kex
RO	Ro, eka
RP	Rep
RQ	Racket
RS	Ros
RT	Ratt
RU	Russin
RV	Räv
SA	Saara
SB	Saab
SC	Schäfer
SD	SD-kort
SE	Glasögon
SF	SF Bio
SG	Såg
SH	Shh, tystfinger
SI	Si señor
SJ	SJ Tåg
SK	Skidor
SL	Tunnelbana
SM	SM-boll
SN	Snö
SO	Djurpark
SP	Spruta
SQ	Squats
SR	SR-reporter
ST	Stockholm
SU	SSU (Breivik)
SV	Sverige
TA	Tatuering
TB	Tub
TC	Tic, fästing
TD	Teddybjörn
TE	Te
TF	Tefat, Ufo
TG	Tegel
TH	Thug life, bling
TI	Tipi
TJ	Tjej
TK	Tak
TL	Tall
TM	Tomte
TN	Ton, 1000 kg
TO	Toalettstol
TP	Trivial Pursuit
TQ	Tequila
TR	Tår
TS	T-shirt
TU	Tupp
TV	TV
UA	Ulla
UB	Ubåt
UC	Uzi
UD	Udd, Knivudd
UE	Uefa
UF	Uff-låda
UG	Ugh indian
UH	Upphissad
UI	Uri (Geller)
UJ	Uppfinnarjocke
UK	England, flagga
UL	Ull, bomull
UM	Urmakare
UN	Una-bombaren
UO	Urolog
UP	Pil upp
UQ	Ukulele
UR	Ur, klocka
US	USA, flagga
UT	Utter
UV	UV-lampa
VA	Vakt
VB	Weber
VC	WC-skylt
VD	Ved
VE	V-tecken
VF	Våffla
VG	Våg
VH	Vedhög
VI	Nintendo Wii
VJ	Vajer
VK	Isvak
VL	Val
VM	Pokal
VN	Van
VO	Vove
VP	Vapen
VQ	Wokpanna
VR	VR-glasögon
VS	Vas
VT	Vete
VU	Vulkan